Player,Nation,Pos,SoT%,Squad,Comp,Age,MP,G/90,G/Sh,G/SoT,PKGoals,PKAttempted,Goals,Pass,PassCompleted,PassComp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,Interception ,SucDribble,Dribble,DribbleComp%,DribblePast%,YCards,RCards,Fls,Fld,OGoals,AerWon,AerLost,AerWon%,AerLost%,PasswHead,PasswHead%,PKwon,but_par_tir,but_par_tir_cadre,but_par_90min,pass_short_comp,pass_medium_comp,pass_long_comp,tete_reussi,passe_avec_tete,Dribbles_reussis,Dribles_passes,Tir,Tete,Passe,Dribbles,Note Finale,classement_equipe
Moanes-Dabbur,ISR,FWMF,27.3,Hoffenheim,Bundesliga,30.0,27,0.21,0.09,0.33,0,0,3,480,360,75.0,79.8,81.8,54.3,4,10,3,30.0,13,2.47,21,41,51.22,3.51,5,0,32,24,0,16,41,28.13,0,25,5.21,0.0,55,69,53,45,78,53,29,62,59,45,56,43,56,49,51.0,5
Riccardo-Saponara,ITA,FW,37.8,Fiorentina,Serie A,30.0,29,0.21,0.08,0.21,0,0,3,551,427,77.5,84.4,82.3,75.7,3,26,6,23.08,4,1.82,19,51,37.25,2.88,1,0,6,27,0,8,7,53.33,0,4,0.73,0.07,51,47,53,67,78,87,87,14,21,35,49,50,76,28,51.0,6
Federico-Santander,PAR,FWDF,50.0,Bologna,Serie A,30.0,7,1.43,0.5,1.0,0,0,1,32,21,65.62,62.5,100.0,100.0,0,1,1,100.0,2,1.43,1,2,50.0,71.5,1,0,2,5,0,8,7,53.27,1,3,9.38,0.0,99,100,99,7,100,100,87,86,57,94,61,53,43,47,51.0,2
Andrea-Belotti,ITA,FW,29.1,Torino,Serie A,28.0,22,0.53,0.09,0.31,3,3,8,360,254,70.56,82.2,73.1,42.3,1,10,0,0.0,7,1.05,13,23,56.52,4.0,1,0,28,62,0,65,90,41.96,0,17,4.72,0.07,55,63,88,57,47,27,65,58,71,50,60,53,38,52,51.0,2
Gonçalo-Paciência,POR,FW,29.6,Eint Frankfurt,Bundesliga,27.0,18,0.53,0.07,0.25,1,2,3,159,100,62.89,69.2,67.5,53.8,0,4,0,0.0,2,1.58,9,11,81.82,14.36,3,0,9,14,0,16,26,38.13,0,13,8.18,0.18,46,53,88,14,30,51,54,81,94,79,50,54,25,69,50.0,3
Che-Adams,SCO,FW,49.0,Southampton,Premier League,25.0,30,0.31,0.14,0.29,0,0,7,483,335,69.36,77.9,74.8,56.6,3,11,1,9.09,9,1.15,14,33,42.42,2.27,0,0,31,47,0,56,111,33.56,0,28,5.8,0.0,75,60,66,36,53,58,42,67,31,24,67,54,49,28,50.0,1
Lucas-Höler,GER,FWMF,42.6,Freiburg,Bundesliga,27.0,34,0.24,0.11,0.27,0,0,7,904,629,69.58,75.1,72.4,59.0,2,24,2,8.33,28,1.36,17,46,36.96,1.59,2,0,39,68,0,150,125,54.54,0,61,6.75,0.03,63,55,56,27,45,63,89,74,21,10,58,82,45,16,50.0,3
Ciro-Immobile,ITA,FW,45.9,Lazio,Serie A,32.0,31,0.9,0.18,0.4,7,9,27,886,696,78.56,84.4,77.8,74.3,2,25,2,8.0,9,1.36,15,43,34.88,1.3,4,0,36,41,0,18,59,23.44,0,25,2.82,0.03,86,78,97,67,64,86,19,35,19,7,87,27,72,13,50.0,4
Thiago-Galhardo,BRA,FWMF,48.4,Celta Vigo,La Liga,32.0,31,0.16,0.06,0.13,0,0,2,279,189,67.74,83.6,54.4,50.0,2,10,1,10.0,6,1.02,11,23,47.83,4.43,5,0,26,14,0,49,82,37.4,0,25,8.96,0.0,43,37,45,64,12,45,53,84,45,53,42,68,40,49,50.0,3
Islam-Slimani,ALG,FW,33.3,Lyon,Ligue 1,33.0,12,0.16,0.08,0.25,0,0,1,192,150,78.12,80.0,84.3,70.0,1,2,0,0.0,2,1.25,1,1,100.0,16.0,3,0,6,5,0,19,11,63.33,0,9,4.69,0.0,51,53,45,47,83,81,94,57,100,81,35,53,49,63,50.0,3
Hwang-Ui-jo,KOR,FW,40.0,Bordeaux,Ligue 1,29.0,32,0.39,0.2,0.5,0,0,11,415,323,77.83,84.5,86.2,44.9,2,22,5,22.73,4,0.82,13,37,35.14,1.46,3,0,17,25,0,15,50,23.18,0,19,4.58,0.0,90,91,77,68,88,31,18,56,19,8,86,37,62,14,50.0,1
Keita-Baldé,SEN,FWMF,34.6,Cagliari,Serie A,27.0,26,0.22,0.12,0.33,0,0,3,268,198,73.88,79.1,77.5,66.7,1,8,0,0.0,3,0.8,5,11,45.45,3.27,2,0,30,33,0,26,65,28.61,0,17,6.34,0.07,66,69,54,42,63,77,30,72,39,42,59,48,57,38,50.0,4
Josip-Brekalo,CRO,FWMF,38.6,Torino,Serie A,23.0,32,0.28,0.16,0.41,0,0,7,1179,846,71.76,81.0,78.7,54.3,2,78,9,11.54,6,1.65,30,61,49.18,2.2,1,0,21,21,0,20,42,32.38,0,31,2.63,0.0,81,79,61,52,68,53,37,32,49,23,74,34,58,36,50.0,3
Breel-Embolo,SUI,FWMF,47.9,M'Gladbach,Bundesliga,25.0,29,0.37,0.19,0.39,0,0,9,587,428,72.91,79.0,71.7,66.7,3,6,2,33.33,21,1.62,36,81,44.44,2.05,3,0,46,83,0,44,94,31.94,0,24,4.09,0.08,88,76,74,41,44,77,36,51,37,20,78,43,53,28,50.0,3
Sergio-Canales,ESP,FWMF,41.8,Betis,La Liga,31.0,34,0.16,0.09,0.22,0,0,5,1867,1551,83.07,90.5,87.1,68.1,8,43,5,11.63,27,1.81,28,51,54.9,1.84,6,0,28,49,0,16,45,26.4,0,32,1.71,0.0,55,48,45,88,89,79,25,20,69,15,49,22,85,42,50.0,4
Fabian-Klos,GER,FW,37.8,Arminia,Bundesliga,34.0,25,0.19,0.03,0.07,2,2,3,442,237,53.62,67.3,42.2,49.1,1,19,2,10.53,1,1.46,10,15,66.67,4.2,2,1,33,16,0,134,125,51.74,1,60,13.57,0.0,36,34,49,11,8,37,86,94,89,51,36,82,17,64,50.0,1
Ángel-Correa,ARG,FWMF,44.0,Atlético Madrid,La Liga,27.0,36,0.58,0.24,0.55,0,0,12,656,483,73.63,82.3,75.3,49.1,5,27,2,7.41,15,1.65,26,53,49.06,2.66,3,1,28,35,0,7,36,16.27,0,16,2.44,0.0,94,93,90,58,55,37,11,30,49,32,92,20,50,40,50.0,5
Wesley-Saïd,FRA,FWMF,38.5,Lens,Ligue 1,27.0,21,0.68,0.19,0.5,0,0,5,233,170,72.96,85.0,74.7,50.0,0,15,0,0.0,4,1.64,10,16,62.5,8.56,2,0,18,5,0,2,9,18.0,0,3,1.29,0.14,88,91,94,70,52,45,13,17,83,71,77,13,47,65,50.0,3
Opa-Nguette,SEN,FWMF,30.4,Metz,Ligue 1,27.0,26,0.17,0.09,0.29,0,0,2,259,196,75.68,80.9,74.7,55.6,2,2,0,0.0,18,1.47,19,49,38.78,4.22,1,0,14,26,0,24,30,44.42,0,17,6.56,0.0,55,60,46,51,52,56,71,73,24,51,50,67,49,35,50.0,2
Gonçalo-Guedes,POR,FWMF,35.8,Valencia,La Liga,25.0,36,0.38,0.15,0.42,1,2,11,883,582,65.91,76.0,70.5,50.9,6,70,14,20.0,20,1.45,54,104,51.92,1.89,3,0,39,88,0,17,40,29.95,0,42,4.76,0.03,78,80,76,29,39,46,32,58,61,17,78,45,38,39,50.0,2
Lucas-Boyé,ARG,FW,30.6,Elche,La Liga,26.0,24,0.37,0.14,0.47,0,0,7,447,327,73.15,81.2,71.2,63.6,3,11,0,0.0,17,1.21,44,77,57.14,3.14,3,0,44,53,0,24,76,23.95,0,15,3.36,0.0,75,86,74,53,42,70,20,42,72,40,70,28,50,50,50.0,3
Nicolas-de-Préville,FRA,FWMF,24.4,Metz,Ligue 1,31.0,27,0.23,0.12,0.5,0,0,5,599,405,67.61,75.0,73.6,52.1,2,38,10,26.32,14,1.19,37,80,46.25,2.4,5,0,50,59,0,57,57,50.0,0,20,3.34,0.0,66,91,55,27,49,47,85,41,41,26,67,60,39,32,50.0,3
Benjamin-Bourigeaud,FRA,FWMF,38.9,Rennes,Ligue 1,28.0,38,0.31,0.2,0.52,0,0,11,1887,1377,72.97,82.6,83.0,56.4,12,125,33,26.4,19,2.48,13,30,43.33,1.23,2,0,31,11,0,20,46,30.11,0,44,2.33,0.0,90,92,66,59,80,58,32,29,33,7,83,30,66,20,50.0,3
Jordan-Tell,FRA,FW,42.9,Clermont Foot,Ligue 1,24.0,15,0.31,0.14,0.33,0,0,1,86,71,82.56,95.5,77.8,83.3,1,1,0,0.0,3,0.63,1,5,20.0,18.8,1,0,3,3,0,7,8,46.7,0,4,4.65,0.0,75,69,66,93,64,92,76,57,9,84,52,50,62,35,50.0,5
Eddie-Nketiah,ENG,FW,42.9,Arsenal,Premier League,22.0,21,0.54,0.18,0.42,0,0,5,233,186,79.83,83.5,85.4,64.3,1,11,0,0.0,7,1.08,10,27,37.04,5.19,3,0,21,16,0,9,42,17.67,0,12,5.15,0.0,86,80,89,63,85,71,13,62,21,59,72,32,62,34,50.0,2
Terem-Moffi,NGA,FW,34.5,Lorient,Ligue 1,23.0,37,0.27,0.1,0.3,2,2,8,569,425,74.69,82.6,69.7,65.5,4,15,4,26.67,14,1.23,37,65,56.92,1.89,1,0,28,22,0,59,101,36.84,0,12,2.11,0.03,59,62,61,59,37,72,52,25,72,17,61,38,56,44,50.0,2
Valère-Germain,FRA,FW,50.0,Montpellier,Ligue 1,32.0,34,0.18,0.13,0.25,0,0,4,473,361,76.32,81.9,76.2,59.3,3,13,1,7.69,21,1.1,3,8,37.5,2.25,3,0,27,29,0,57,101,36.06,0,33,6.98,0.0,70,53,47,56,60,63,49,76,23,23,57,62,60,23,50.0,2
Jim-Allevinah,GAB,FW,35.7,Clermont Foot,Ligue 1,27.0,30,0.06,0.02,0.07,0,0,1,551,415,75.32,83.0,76.5,59.3,2,31,3,9.68,15,1.33,31,65,47.69,3.17,1,0,18,39,0,17,24,41.53,0,26,4.72,0.0,35,34,35,61,60,63,64,58,45,40,35,61,61,42,50.0,3
Eden-Hazard,BEL,FWMF,58.3,Real Madrid,La Liga,31.0,18,0.0,0.0,0.0,0,0,0,409,365,89.24,90.3,91.1,95.2,1,13,0,0.0,6,1.0,19,23,82.61,10.35,3,0,9,36,0,3,5,37.62,0,11,2.69,0.0,34,34,33,88,92,94,53,33,95,74,27,34,73,68,50.0,5
Philipp-Förster,GER,FWMF,24.1,Stuttgart,Bundesliga,27.0,20,0.19,0.07,0.29,0,0,2,431,375,87.01,89.8,89.2,88.9,1,4,3,75.0,12,1.68,10,20,50.0,5.15,4,0,18,10,0,11,16,40.71,0,8,1.86,0.0,46,60,49,86,91,93,62,22,57,59,43,35,75,48,50.0,1
Florent-Mollet,FRA,FWMF,30.9,Montpellier,Ligue 1,30.0,35,0.21,0.11,0.35,0,0,6,1195,967,80.92,91.1,84.4,54.4,2,55,8,14.55,17,1.03,18,41,43.9,1.59,6,0,37,49,0,14,29,32.65,0,42,3.51,0.0,63,71,53,90,84,53,38,43,34,10,62,40,76,22,50.0,3
Lucas-Da-Cunha,FRA,FWMF,31.6,Clermont Foot,Ligue 1,20.0,15,0.22,0.11,0.33,0,0,2,333,279,83.78,90.7,83.0,72.2,0,17,5,29.41,11,1.08,26,38,68.42,7.92,0,0,6,8,0,9,16,36.06,0,9,2.7,0.0,63,69,54,88,80,84,49,34,90,68,46,31,63,59,50.0,4
Ignacio-Pussetto,ARG,FWMF,38.7,Udinese,Serie A,26.0,28,0.3,0.1,0.25,1,1,4,293,205,69.97,80.5,67.3,75.8,4,18,3,16.67,15,0.82,20,52,38.46,4.02,4,0,32,31,0,36,61,37.15,0,13,4.44,0.07,59,53,64,50,30,87,52,55,24,50,57,52,54,36,50.0,2
Sergi-Guardiola,ESP,FW,33.3,Rayo Vallecano,La Liga,31.0,32,0.42,0.15,0.44,1,1,8,435,302,69.43,77.2,72.7,55.0,2,15,2,13.33,14,1.42,7,20,35.0,2.35,3,0,30,33,0,32,62,34.01,0,23,5.29,0.05,78,84,79,33,46,54,44,63,19,25,80,54,44,22,50.0,3
Martinelli,BRA,FWMF,30.0,Arsenal,Premier League,20.0,29,0.29,0.1,0.33,1,1,6,612,453,74.02,83.8,79.8,47.0,6,48,5,10.42,19,1.01,31,60,51.67,2.65,3,1,26,25,0,30,54,35.71,0,16,2.61,0.0,59,69,63,64,71,34,47,32,60,31,63,39,55,45,50.0,1
Callum-Wilson,ENG,FW,37.5,Newcastle Utd,Premier League,30.0,18,0.52,0.19,0.5,2,2,8,176,123,69.89,72.6,74.6,54.5,0,5,1,20.0,6,0.32,14,25,56.0,4.16,4,0,31,26,0,30,78,27.82,0,16,9.09,0.0,88,91,87,19,52,53,28,85,70,50,71,45,33,48,49.0,2
Allan-Saint-Maximin,FRA,FWMF,40.6,Newcastle Utd,Premier League,25.0,35,0.16,0.08,0.19,0,0,5,757,545,71.99,82.9,75.6,53.7,5,69,9,13.04,6,0.96,140,230,60.87,2.09,6,0,24,71,0,19,30,38.85,0,17,2.25,0.0,51,43,45,61,56,50,58,28,80,21,46,43,56,50,49.0,1
Rey-Manaj,ALB,FW,27.5,Spezia,Serie A,25.0,30,0.26,0.06,0.21,2,3,5,450,340,75.56,81.2,75.8,87.0,0,6,1,16.67,10,0.87,19,50,38.0,2.14,9,0,61,65,0,72,115,38.47,0,21,4.67,0.05,43,47,59,53,57,93,56,57,23,21,50,56,68,22,49.0,3
Romain-Faivre,FRA,FWMF,30.0,Lyon,Ligue 1,23.0,14,0.3,0.15,0.5,0,0,3,595,488,82.02,85.6,89.0,65.6,0,25,4,16.0,4,2.42,26,45,57.78,6.73,0,0,14,20,0,3,4,42.86,0,6,1.01,0.0,78,91,64,72,91,73,67,15,73,66,57,30,58,51,49.0,4
Ishak-Belfodil,ALG,FW,50.0,Hertha BSC,Bundesliga,30.0,26,0.27,0.12,0.24,1,1,5,471,331,70.28,77.5,66.4,43.5,2,18,1,5.56,6,1.32,19,39,48.72,2.95,1,0,22,12,0,49,60,44.91,0,43,9.13,0.05,66,50,61,34,25,29,73,86,48,37,55,74,27,40,49.0,2
Cristian-Tello,ESP,FWMF,31.0,Betis,La Liga,30.0,23,0.22,0.07,0.22,0,0,2,363,280,77.13,83.2,80.3,65.0,2,14,4,28.57,8,2.09,12,26,46.15,5.08,2,0,13,6,0,5,7,41.67,0,12,3.31,0.0,46,48,54,62,73,72,65,41,41,58,44,47,61,44,49.0,5
Andrej-Kramari?,CRO,FWMF,37.6,Hoffenheim,Bundesliga,30.0,32,0.2,0.06,0.17,0,0,6,1056,818,77.46,83.5,79.7,55.9,9,53,10,18.87,10,1.86,24,46,52.17,1.8,2,0,10,32,0,20,33,37.5,0,42,3.98,0.0,43,42,51,63,70,57,53,49,62,14,45,51,63,38,49.0,6
Irvin-Cardona,FRA,FWMF,42.9,Brest,Ligue 1,24.0,32,0.27,0.14,0.33,0,0,4,316,212,67.09,77.2,74.2,31.7,2,28,1,3.57,5,1.62,15,33,45.45,3.48,2,0,16,13,0,9,23,28.24,0,23,7.28,0.0,75,69,61,33,50,18,29,77,39,44,68,53,34,42,49.0,2
Dodi-Lukebakio,BEL,FWMF,41.2,Wolfsburg,Bundesliga,24.0,19,0.1,0.06,0.14,0,0,1,297,229,77.1,86.5,79.4,61.0,2,17,4,23.53,4,1.12,25,43,58.14,6.42,2,0,16,15,0,16,15,51.58,0,8,2.69,0.0,43,39,37,77,70,66,86,33,74,65,32,49,58,57,49.0,4
Maxi-Gómez,URU,FW,28.6,Valencia,La Liga,25.0,29,0.23,0.12,0.42,0,0,5,415,265,63.86,69.3,65.3,50.0,1,18,3,16.67,6,0.6,6,19,31.58,1.95,7,1,55,66,0,88,87,50.31,0,60,14.46,0.05,66,80,55,14,24,45,85,96,14,17,66,89,27,15,49.0,3
Marcus-Ingvartsen,DEN,FWMF,45.8,Mainz 05,Bundesliga,26.0,26,0.79,0.21,0.45,1,1,6,218,147,67.43,71.6,72.4,46.4,0,11,3,27.27,4,1.84,7,19,36.84,4.84,2,0,16,15,0,23,43,34.87,0,10,4.59,0.13,91,85,95,17,45,32,46,56,21,56,84,48,29,36,49.0,1
Arthur,BRA,FW,34.8,Fiorentina,Serie A,24.0,14,0.24,0.09,0.25,0,0,2,144,114,79.17,84.3,82.4,73.3,2,2,0,0.0,6,0.24,10,16,62.5,9.81,1,0,18,12,0,18,29,38.34,0,7,4.86,0.0,55,53,56,66,79,85,55,59,83,73,40,42,56,57,49.0,7
Denis-Bouanga,GAB,FWMF,37.6,Saint-Étienne,Ligue 1,27.0,34,0.33,0.11,0.28,0,0,9,801,552,68.91,81.1,68.5,48.5,6,60,8,13.33,30,1.25,69,148,46.62,1.97,4,1,55,51,0,70,86,44.87,0,36,4.49,0.0,63,56,68,52,33,35,73,55,42,18,62,64,40,30,49.0,1
Jonas-Wind,DEN,FWMF,45.7,Wolfsburg,Bundesliga,23.0,14,0.38,0.14,0.31,0,0,5,366,249,68.03,74.3,70.2,52.8,1,6,1,16.67,7,2.14,10,15,66.67,5.07,0,0,16,34,0,70,65,51.84,0,32,8.74,0.0,75,63,76,23,37,49,86,83,89,58,52,62,27,54,49.0,5
Mikel-Oyarzabal,ESP,FWMF,31.6,Real Sociedad,La Liga,25.0,22,0.48,0.13,0.42,4,5,9,652,440,67.48,82.7,76.6,38.9,3,46,6,13.04,14,1.51,21,41,51.22,2.88,0,1,14,31,0,30,39,43.4,0,18,2.76,0.0,70,80,84,60,61,23,69,34,59,35,68,45,42,41,49.0,2
Janni-Serra,GER,FW,41.7,Arminia,Bundesliga,24.0,26,0.24,0.13,0.3,0,0,3,294,197,67.01,76.7,59.0,71.4,2,1,0,0.0,4,0.97,7,20,35.0,3.25,1,0,16,15,0,64,103,38.31,1,37,12.59,0.0,70,62,56,32,14,83,55,93,19,41,58,69,40,28,49.0,2
Cédric-Bakambu,COD,FW,42.1,Marseille,Ligue 1,31.0,12,1.0,0.21,0.5,0,0,4,68,51,75.0,78.0,63.2,100.0,0,4,0,0.0,2,1.25,2,2,100.0,25.0,1,0,7,2,0,8,15,34.78,0,2,2.94,0.0,91,91,98,37,21,100,45,36,100,87,65,28,37,65,49.0,6
Mauro-Icardi,ARG,FW,35.7,Paris S-G,Ligue 1,29.0,24,0.35,0.14,0.4,0,0,4,151,120,79.47,83.3,80.4,75.0,0,4,0,0.0,3,0.35,2,7,28.57,2.57,1,0,15,9,0,5,10,33.33,0,7,4.64,0.0,75,78,71,63,74,87,42,57,12,29,67,45,67,18,49.0,5
Grégoire-Defrel,MTQ,FW,37.0,Sassuolo,Serie A,30.0,38,0.13,0.07,0.2,0,0,2,400,342,85.5,90.0,84.2,68.2,2,0,0,,16,0.73,14,30,46.67,3.3,3,0,16,21,0,17,42,28.9,0,8,2.0,0.0,46,45,41,87,83,79,30,24,42,42,44,27,83,42,49.0,4
Andrea-Pinamonti,ITA,FW,25.6,Empoli,Serie A,23.0,36,0.41,0.1,0.41,4,4,13,653,402,61.56,71.8,60.2,50.0,2,27,3,11.11,6,1.19,12,28,42.86,1.46,4,0,31,58,0,102,141,41.99,0,60,9.19,0.03,59,79,78,18,17,45,66,86,32,8,72,76,27,20,49.0,2
Renato-Steffen,SUI,FWMF,15.4,Wolfsburg,Bundesliga,30.0,20,0.0,0.0,0.0,0,0,0,432,332,76.85,87.0,75.6,64.1,1,27,4,14.81,5,1.31,7,12,58.33,5.42,6,0,18,18,0,17,26,39.55,0,26,6.02,0.0,34,34,33,79,56,70,59,69,75,60,28,53,57,56,48.0,6
Emmanuel-Dennis,NGA,FWMF,44.3,Watford,Premier League,24.0,33,0.35,0.16,0.37,0,0,10,634,430,67.82,77.5,69.4,57.1,6,29,5,17.24,28,1.32,73,164,44.51,1.7,9,1,69,47,0,59,101,36.92,0,23,3.63,0.03,81,72,71,34,35,59,52,44,37,12,75,48,43,24,48.0,3
Marcus-Coco,FRA,FWDF,18.2,Nantes,Ligue 1,25.0,24,0.1,0.09,0.5,0,0,1,332,232,69.88,80.2,72.4,37.8,1,20,5,25.0,20,2.04,11,25,44.0,5.04,3,1,21,30,0,32,33,49.29,0,14,4.22,0.0,55,91,37,48,45,22,80,52,35,58,55,59,34,42,48.0,2
Nikola-Vlai?,CRO,FWMF,42.9,West Ham,Premier League,24.0,19,0.16,0.14,0.33,0,0,1,221,170,76.92,89.9,78.5,31.6,0,15,0,0.0,11,1.77,7,12,58.33,10.75,0,0,9,19,0,6,11,35.4,0,5,2.26,0.0,75,69,45,86,67,18,47,28,75,75,51,31,47,61,48.0,3
Soma-Novothny,HUN,FWMF,33.3,Bochum,Bundesliga,27.0,6,1.11,0.33,1.0,0,0,1,17,12,70.59,62.5,85.7,50.0,0,1,0,0.0,0,0.0,0,0,,,0,0,2,2,0,5,9,35.73,1,3,17.65,1.11,98,100,98,7,87,45,48,97,100,100,59,44,28,60,48.0,3
Takefusa-Kubo,JPN,FWMF,18.4,Mallorca,La Liga,20.0,28,0.06,0.02,0.11,0,0,1,517,364,70.41,79.4,71.0,56.7,0,36,7,19.44,24,1.57,36,68,52.94,3.56,4,0,19,54,0,13,18,41.95,0,26,5.03,0.0,35,36,35,43,41,58,65,61,65,45,34,61,46,53,48.0,3
Sekou-Mara,FRA,FW,44.4,Bordeaux,Ligue 1,19.0,26,0.59,0.14,0.31,1,1,6,205,139,67.8,71.2,71.6,55.0,0,5,1,20.0,8,1.49,12,35,34.29,4.26,2,0,22,23,0,27,37,42.18,0,9,4.39,0.1,75,63,91,16,43,54,66,54,18,51,71,56,35,32,48.0,2
Ángel-Rodríguez,ESP,FW,37.9,Mallorca,La Liga,35.0,29,0.17,0.1,0.27,0,0,3,273,197,72.16,78.6,76.7,53.3,2,8,2,25.0,13,0.81,14,27,51.85,3.0,4,0,43,28,0,16,49,24.6,0,14,5.13,0.06,59,55,46,41,61,49,22,62,61,38,52,41,49,49,48.0,4
Moussa-Diaby,FRA,FWMF,50.9,Leverkusen,Bundesliga,22.0,32,0.42,0.25,0.48,0,1,13,1015,757,74.58,81.7,80.4,60.9,12,87,18,20.69,11,1.53,50,122,40.98,1.55,10,1,41,30,0,10,28,26.61,0,11,1.08,0.0,95,86,79,55,74,66,26,15,29,9,87,20,65,19,48.0,4
Tim-Lemperle,GER,FWMF,42.9,Köln,Bundesliga,20.0,13,1.18,0.29,0.67,0,0,2,59,39,66.1,70.0,64.3,50.0,0,4,1,25.0,4,3.53,6,9,66.67,39.22,0,0,5,2,0,4,12,24.97,1,6,10.17,0.0,97,96,98,15,23,45,23,88,89,90,70,40,20,64,48.0,2
Riccardo-Orsolini,ITA,FW,28.3,Bologna,Serie A,25.0,29,0.3,0.08,0.27,2,2,6,748,498,66.58,78.3,70.7,45.2,3,54,13,24.07,10,1.46,27,57,47.37,2.39,2,0,21,49,0,28,34,45.05,0,40,5.35,0.0,51,55,64,38,39,31,73,63,44,26,56,67,35,34,48.0,4
Anthony-Elanga,SWE,FW,33.3,Manchester Utd,Premier League,20.0,21,0.15,0.1,0.29,0,0,2,441,345,78.23,87.5,76.1,58.6,2,16,3,18.75,17,2.0,15,39,38.46,3.41,0,0,11,24,0,27,25,51.95,0,18,4.08,0.0,59,60,42,80,59,62,86,51,24,44,46,58,57,29,48.0,3
Musa-Barrow,GAM,FWMF,38.9,Bologna,Serie A,23.0,34,0.25,0.08,0.21,0,0,6,939,714,76.04,89.4,77.1,51.3,6,53,12,22.64,12,1.22,32,58,55.17,2.55,0,0,11,27,0,24,48,33.22,0,18,1.92,0.0,51,47,58,85,62,46,38,23,69,28,52,30,64,48,48.0,3
Ibrahima-Niane,SEN,FW,23.3,Metz,Ligue 1,23.0,26,0.17,0.05,0.2,1,1,3,415,302,72.77,80.7,70.3,58.1,1,7,1,14.29,0,1.02,10,22,45.45,2.86,2,1,14,29,0,64,84,43.28,0,36,8.67,0.0,39,45,46,50,38,61,69,83,39,35,40,71,46,35,48.0,4
Bryan-Lasme,FRA,FW,50.0,Arminia,Bundesliga,23.0,23,0.21,0.14,0.29,0,0,2,198,123,62.12,65.4,63.6,58.8,0,16,4,25.0,4,0.52,10,27,37.04,4.96,2,0,15,10,0,38,40,48.76,0,20,10.1,0.0,75,60,53,8,21,63,79,88,21,57,55,74,27,34,48.0,3
Jérémy-Le-Douaron,FRA,FW,43.2,Brest,Ligue 1,24.0,32,0.31,0.14,0.31,0,0,5,315,204,64.76,81.9,50.0,47.4,3,28,5,17.86,8,0.93,12,38,31.58,2.61,0,0,22,33,0,38,61,38.37,0,22,6.98,0.0,75,63,66,56,11,34,56,76,14,30,68,66,34,22,48.0,3
M'Bala-Nzola,ANG,FW,59.1,Spezia,Serie A,25.0,21,0.17,0.09,0.15,0,0,2,250,201,80.4,85.6,74.6,83.3,1,4,0,0.0,3,0.76,11,18,61.11,5.61,2,0,33,9,0,23,66,25.8,0,10,4.0,0.0,55,40,46,72,52,92,25,50,80,61,40,32,61,60,48.0,4
Simon-Zoller,GER,FW,63.6,Bochum,Bundesliga,30.0,10,0.45,0.27,0.43,0,0,3,158,121,76.58,84.5,81.1,55.0,2,11,3,27.27,2,1.06,2,4,50.0,7.5,3,0,16,5,0,8,10,44.32,0,12,7.59,0.0,96,82,82,68,76,54,71,78,57,68,58,50,44,42,48.0,4
Luis-Díaz,COL,FW,36.8,Liverpool,Premier League,25.0,13,0.38,0.11,0.29,0,0,4,450,396,88.0,91.0,88.0,88.6,3,22,3,13.64,10,1.7,32,48,66.67,6.69,0,0,16,21,0,10,28,26.26,0,14,3.11,0.0,63,60,76,90,90,93,25,39,89,66,48,23,65,56,48.0,4
Raúl-Jiménez,MEX,FW,26.3,Wolves,Premier League,31.0,34,0.21,0.09,0.33,1,1,6,781,558,71.45,77.7,76.1,57.7,4,20,4,20.0,23,1.37,38,93,40.86,1.66,9,2,55,58,0,74,93,44.31,0,34,4.35,0.0,55,69,53,35,59,60,71,53,28,11,59,62,51,20,48.0,2
Darío-Benedetto,ARG,FW,33.3,Elche,La Liga,32.0,14,0.3,0.11,0.33,0,0,2,113,77,68.14,69.1,66.7,73.7,1,6,0,0.0,0,1.21,10,16,62.5,10.44,1,0,5,8,0,11,12,47.85,0,7,6.19,0.0,63,69,64,13,28,86,78,70,83,75,48,54,31,58,48.0,4
Eldor-Shomurodov,UZB,FWMF,35.5,Roma,Serie A,26.0,28,0.34,0.1,0.27,0,0,3,233,159,68.24,73.6,70.5,63.2,4,13,3,23.08,5,1.38,2,14,14.29,3.29,2,0,19,7,0,28,40,41.18,0,18,7.73,0.0,59,55,69,22,39,69,63,79,8,42,59,69,42,24,48.0,2
Kike-Pérez,ESP,FWMF,50.0,Elche,La Liga,25.0,12,0.34,0.2,0.4,0,0,2,247,183,74.09,81.7,74.2,64.7,0,0,0,,7,1.9,6,12,50.0,11.5,1,0,21,6,0,15,19,44.12,0,14,5.67,0.0,90,78,69,55,50,71,70,66,57,77,55,48,41,47,48.0,5
Bebé,CPV,FWMF,14.3,Rayo Vallecano,La Liga,31.0,29,0.1,0.02,0.14,0,0,1,343,212,61.81,84.4,63.6,38.2,2,46,5,10.87,5,1.46,31,52,59.62,6.4,2,0,12,19,0,14,16,46.65,0,9,2.62,0.1,35,39,37,67,21,22,76,32,76,65,36,53,36,69,48.0,4
Wout-Weghorst,NED,FW,23.3,Burnley,Premier League,29.0,20,0.12,0.07,0.29,0,0,2,432,288,66.67,73.6,66.7,63.2,3,8,1,12.5,12,1.99,14,19,73.68,4.58,3,0,33,21,0,66,107,38.14,0,40,9.26,0.0,46,60,39,22,28,69,55,86,92,54,40,59,33,61,48.0,2
